Address,Voi,Algo,Total
GF746HJMTCM7M7KHMJYQLWG6CN4DVHC3UTXK4PU4CU2CF3FT5GXH56ZOVM,0,24050.02465,24050.02465
LDF3UWPBEN6Y2QDW7OPMXRMGDZ6OKMTLRSGQJOM2EFOPKIW4WV2GUBEUB4,0,24043.76917,24043.76917
2QHOUJ5DFUTI6FCNXMWNLN34KWUPTPT2FXURLFLPMOWXOPOENLF2J4HR4Q,0,24042.54828,24042.54828
BXRZKSUMDGWKJQCHACPQ3KWLZ4K34JWRVRS652CVVRW57MI4FHSBX4UOYU,0,24041.09792,24041.09792
52E2TDVQWNSAPPZI2QENPCSFRHCPM6IDDNRM6U4ICMHOV73PBCUSYT6CPQ,0,24030.95978,24030.95978
YN7WXDQ7NGP53K4AGDCIVL3O2NGZLUN2L7CLIAEJ4UUG2NA7DOBLOJ6Z2M,0,24028.90385,24028.90385
ZHULPY33BQZTRMOKVGK5UHFPIK3OUHCZCNGJ7WW7KHTV3XVKVNCAXTE4AU,0,24008.92685,24008.92685
JT4YGXXUFNF4NI75TTHBQAH5J2X73VCXWJDI6JJKZQPAQESNVXJVCEVHBI,0,24000.86338,24000.86338
QOIOOFTAKWIG2DDABHYY7J22N6TLQZAMC4KXCPSSXVOYIKNM7LTJD44CDY,0,23998.59963,23998.59963
EUERTHO7JQLVX7MZ5UEDREOAAQHMJ7AECC32JJQNPMJAGONWKDFYDM54B4,0,23994.06915,23994.06915
R4Y7RZIGRGNTEG4TH7WGCN7H4AQJS5PEGROJNW5ZBDCMNQ3IPEP47WJBNM,0,23991.02101,23991.02101
UA6UOVLBBS52XY54P5CBLATJJJL65W4B7HDLLVU5FWBDEI4VVS4KSHHV4Q,0,23980.90076,23980.90076
EDNUZKUVDXDWA3NPSYOI4OFMG6PUQLD2SLLWGN4YUYIHPMQOSF4XLEO4LQ,0,23975.885,23975.885
LQSOZ532NBPMZ2HNGKWD3ETTMPUYFVFTXBP5CSXAVTELZMG2U7DS5LTKXA,0,23953.58791,23953.58791
MT2ER2HAOHPAIUSKC23FKG3LRFONOD75ZU33UVGRTBAJ7FVR5UI3GH43IQ,0,23945.41777,23945.41777
K4GRRSLY7RQB3XLN3ETE5VQ6P4LU7H73A2472VXCHCSSFALMLL62FQX42A,0,23917.75436,23917.75436
N7I2XFVRFNOSTMSWP4NPFRE3PW7MXO7WEI5SVDRK6GS7O7Y3O6VF3SCSSU,0,23893.84755,23893.84755
SQZ4JINKPFGYP2UZQIB4ZJE7KRLBTOA3NNC3HHA76PHNGGDK43TNB66RAA,0,23890.50099,23890.50099
4ITKB6VDYSGP2X7D23MCGBR2SD3LKDZ4OKAS3B5NC5OZQ2TO4PM27BVCWA,0,23884.61727,23884.61727
KXZXNZQGAT3ZRMO7MOOROBVX3QR4ZJGMNFMXNCGZ27YUIGAJ3KGUTVJIHM,0,23881.06112,23881.06112
ACLTFPX4QFJ4EVNLYPYG6UTLD52Q7QJGQH6BWEHAEPVLV3LCPQCDYGUIOQ,0,23869.6253,23869.6253
WTLXJHPWNZQK7GDPCBYTIRF4U53KSXG7G5BBCKAGME37HN3GMY3CKFW2ZQ,0,23861.07517,23861.07517
IMZPFVNADXFHPMMDCXX5VBXJR3XNYB6HQJTDKPABAADNWNPQHRSBKIFLZU,0,23830.96448,23830.96448
VLTMBA5PXPBRJVTR67Q4YP7BV4KFORRJ7OJVMDXFULCTVPL4FHCSH5PRUE,0,23825.26118,23825.26118
NRLA7VZ2YV6WOS2LBS3UK25DB463XRSNG63BYNQI6CSGGROFWVQ2EKBQSI,0,23823.27047,23823.27047
7JXAQU32BXWZXPU3ZK4VCG4EZOYPYTMTPEL32EEIQ2UBYER3PZ2VFMW5X4,0,23812.51423,23812.51423
FWOQPLQ3KF5R7MUUNWYJSAE7TZA3HHNXHKXDM2OAWR4RXQT2WXDTLL6RV4,0,23809.74245,23809.74245
MO5LIK4IDEOJYJ2TGQ3A6YR2LM6PCDPDTFSHS4EHSY5JEJBIBGJ7G7KXSA,0,23804.19844,23804.19844
GVXXQGVQWI3QY7BYMLBMREDES5KBHUVTJCXEGUGK2A2NJMZ4TD3FDK6UAA,0,23802.62397,23802.62397
JAPTFK633EEVXVOW55K36VJQMKMMVDB2BLRCOBYZ4UYHEWUIOBLMGQYSC4,0,23785.99824,23785.99824
C37255JW442E5WEQECVEPNX6VLBVS3VTLIC6ADLBKI2EWIYEALDPO3HWDQ,0,23761.93581,23761.93581
OUKI4WRTLHIET3MR5E6TSBKKQOJAKCRIV6SJCZ5JTJ2TUD7XQMRVBW26A4,0,23750.41764,23750.41764
EGHDFLCDSK6EFF6YHZM5XPG7YABFT64SLJ4ZVDSTA7POWI2PER6SUXGTNI,0,23740.51399,23740.51399
CUN2U2PBOU775EK6XEX3U74VSJXCRBPEGFFC4BOYKFC5WIYGDKDMSEJBSA,0,23727.48481,23727.48481
